cluster_id,failure_mode_label,failure_mode_description,cluster_size,avg_absolute_error,median_absolute_error,avg_relative_error_percent,median_relative_error_percent,avg_signed_error,overestimate_rate_percent,underestimate_rate_percent,best_performing_model,worst_performing_model,model_diversity,top_models,recipe_type_distribution
9,systematic underestimation bias,"The shared failure mode is a consistent underestimation of copper content across all samples, as indicated by a 100% underestimate rate and negative average signed error. This suggests a reasoning pattern where the models systematically undervalue copper amounts, possibly due to conservative assumptions or incomplete ingredient copper data.",9,0.035888888888888894,0.04000000000000001,25.813492063492067,28.571428571428577,-0.035888888888888894,0.0,100.0,"gpt_5_4_nano__reasoning_low (MAE=0.0100, n=1)","gpt_5_4_mini__reasoning_high (MAE=0.0700, n=1)",8,gpt_5_4_nano__reasoning_high:2; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_low:1; gpt_5_4_nano__reasoning_low:1; gpt_5_4_nano__reasoning_medium:1,anytime_meals:8; breakfast:1
10,systematic overestimation bias,"All models consistently overestimate copper content, indicating a shared reasoning pattern of upward bias in copper estimation. This failure mode likely stems from an over-reliance on high-copper ingredients or incorrect aggregation assumptions, causing copper values to be inflated across samples.",13,0.12076923076923075,0.07999999999999999,75.48076923076923,49.999999999999986,0.12076923076923075,100.0,0.0,"gpt_5_4_mini__reasoning_medium (MAE=0.0400, n=1)","gpt_5_4_nano__reasoning_medium (MAE=0.3200, n=1)",13,gpt_4_1_nano:1; gpt_5_4__reasoning_high:1; gpt_5_4__reasoning_low:1; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_low:1,snacks:13
11,systematic overestimation bias,"All samples consistently overestimate copper content, indicating a shared failure mode where the models apply an upward bias in copper estimation. This leads to a 100% overestimate rate and inflated absolute and relative errors.",18,0.07833333333333331,0.06499999999999999,55.952380952380935,46.428571428571416,0.07833333333333331,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.0300, n=2)","gpt_4_1_nano (MAE=0.2100, n=2)",11,gpt_4_1_nano:2; gpt_5_4_mini__reasoning_high:2; gpt_5_4_mini__reasoning_low:2; gpt_5_4_nano__reasoning_high:2; gpt_5_4_pro__reasoning_high:2,snacks:18
12,systematic overestimation bias,"The shared failure mode is a consistent overestimation of copper content in the snack recipes, as evidenced by a 100% overestimate rate and positive signed errors across all samples. This suggests a reasoning pattern where the models tend to inflate copper values, possibly due to cumulative rounding errors or over-attribution of copper content from ingredients.",13,0.1053846153846154,0.09,105.38461538461539,89.99999999999999,0.1053846153846154,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.0400, n=1)","gpt_5_4_nano__reasoning_high (MAE=0.2400, n=1)",13,gpt_5_4__reasoning_high:1; gpt_5_4__reasoning_low:1; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_low:1,snacks:13
13,systematic overestimation bias,"The shared failure mode is a consistent overestimation of copper content across all samples, as indicated by a 100% overestimate rate and positive average signed error. This suggests a reasoning pattern where the models tend to inflate copper estimates, possibly due to cumulative rounding errors or over-attribution of copper content in ingredients.",14,0.048499999999999995,0.027000000000000003,67.8781512605042,59.85294117647058,0.048499999999999995,100.0,0.0,"gpt_5_5__reasoning_high (MAE=0.0160, n=2)","gpt_5_4_nano__reasoning_low (MAE=0.0980, n=3)",7,gpt_5_4_nano__reasoning_low:3; gpt_5_4_nano__reasoning_high:2; gpt_5_4_nano__reasoning_medium:2; gpt_5_5__reasoning_high:2; gpt_5_5__reasoning_low:2,breakfast:7; desserts:7
14,systematic overestimation bias,"All models consistently overestimate copper content, often by large margins, indicating a shared failure mode of systematic upward bias in copper estimation. This suggests a reasoning pattern where models inflate copper values rather than underestimating or balancing errors.",11,0.8963636363636364,0.26,2240.909090909091,650.0,0.8963636363636364,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.1600, n=1)","gpt_5_4_nano__reasoning_low (MAE=6.9600, n=1)",11,gpt_5_4__reasoning_high:1; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_low:1; gpt_5_4_nano__reasoning_high:1,anytime_meals:11
15,systematic overestimation bias,"The shared failure mode is a consistent overestimation of copper content across all samples, indicated by a 100% overestimate rate and positive signed errors. This suggests a reasoning pattern where the models tend to inflate copper values, possibly due to cumulative rounding up or over-attribution of copper in ingredients.",12,0.022000000000000002,0.019999999999999997,26.20915032679739,25.09803921568627,0.022000000000000002,100.0,0.0,"gpt_5_4_mini__reasoning_high (MAE=0.0095, n=2)","gpt_5_4__reasoning_low (MAE=0.0375, n=2)",6,gpt_5_4_pro__reasoning_high:3; gpt_5_4__reasoning_high:2; gpt_5_4__reasoning_low:2; gpt_5_4_mini__reasoning_high:2; gpt_5_4_mini__reasoning_medium:2,breakfast:7; desserts:5
16,systematic overestimation bias,"All models consistently overestimate the total copper content in the dessert recipes, leading to a positive signed error and a 100% overestimate rate. This failure mode suggests a shared reasoning pattern where copper amounts are inflated, possibly due to incorrect ingredient copper values or aggregation errors.",10,0.0725,0.010000000000000002,241.66666666666669,33.33333333333334,0.0725,100.0,0.0,"gpt_5_4_mini__reasoning_medium (MAE=0.0030, n=1)","gpt_5_4_nano__reasoning_low (MAE=0.6400, n=1)",10,gpt_5_4__reasoning_high:1; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_medium:1; gpt_5_4_nano__reasoning_high:1; gpt_5_4_nano__reasoning_low:1,desserts:10
17,systematic overestimation bias,"All models consistently overestimate the total copper content in the recipe, leading to a positive signed error and 100% overestimate rate. This suggests a shared reasoning pattern where copper values are inflated, possibly due to incorrect assumptions or aggregation errors in ingredient copper content estimation.",9,0.030888888888888893,0.020000000000000004,38.611111111111114,25.000000000000007,0.030888888888888893,100.0,0.0,"gpt_5_4_pro__reasoning_high (MAE=0.0130, n=1)","gpt_5_4_nano__reasoning_low (MAE=0.0800, n=1)",9,gpt_5_4__reasoning_high:1; gpt_5_4__reasoning_low:1; gpt_5_4__reasoning_medium:1; gpt_5_4_nano__reasoning_low:1; gpt_5_4_nano__reasoning_medium:1,breakfast:9
18,systematic overestimation bias,"All samples consistently overestimate copper content, indicating a shared failure mode where the models inflate copper values rather than underestimating. This suggests a reasoning pattern prone to upward bias in copper estimation, possibly due to misinterpretation or overaggregation of ingredient copper contributions.",15,0.08299999999999999,0.060000000000000005,186.15384615384613,150.0,0.08299999999999999,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.0400, n=2)","gpt_5_4_nano__reasoning_medium (MAE=0.1650, n=2)",11,gpt_5_4_mini__reasoning_low:2; gpt_5_4_nano__reasoning_high:2; gpt_5_4_nano__reasoning_low:2; gpt_5_4_nano__reasoning_medium:2; gpt_4_1_nano:1,anytime_meals:15
19,systematic overestimation bias,"All models consistently overestimate the total copper content in the recipe, leading to high positive signed errors and 100% overestimate rate. This suggests a shared reasoning pattern where copper content is inflated, possibly due to incorrect assumptions about ingredient copper levels or aggregation errors.",10,0.27199999999999996,0.32499999999999996,302.22222222222223,361.1111111111111,0.27199999999999996,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.0900, n=1)","gpt_5_5__reasoning_medium (MAE=0.3800, n=1)",10,gpt_4_1_nano:1; gpt_5_4__reasoning_high:1; gpt_5_4_mini__reasoning_low:1; gpt_5_4_mini__reasoning_medium:1; gpt_5_4_nano__reasoning_high:1,anytime_meals:10
20,systematic overestimation bias,"The shared failure mode is a consistent overestimation of copper content across all samples, indicated by a 100% overestimate rate and positive signed errors. This suggests a reasoning pattern where the models tend to inflate copper values, possibly due to miscalibration or over-reliance on certain ingredient assumptions.",9,0.018111111111111116,0.020000000000000004,59.62962962962964,66.66666666666669,0.018111111111111116,100.0,0.0,"gpt_5_4__reasoning_medium (MAE=0.0100, n=1)","gpt_5_4_nano__reasoning_medium (MAE=0.0310, n=1)",8,gpt_5_4_nano__reasoning_low:2; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_medium:1; gpt_5_4_nano__reasoning_high:1; gpt_5_4_nano__reasoning_medium:1,desserts:9
21,systematic overestimation bias,"The shared failure mode is a consistent overestimation of copper content across all samples, indicated by a 100% overestimate rate and positive signed errors. This suggests a reasoning pattern where the models tend to inflate copper values rather than underestimate them, possibly due to an error in ingredient copper content assumptions or aggregation logic.",19,0.057684210526315796,0.06,36.515995872033024,35.29411764705882,0.057684210526315796,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.0100, n=1)","gpt_4_1_nano (MAE=0.1100, n=1)",12,gpt_5_4__reasoning_medium:2; gpt_5_4_nano__reasoning_high:2; gpt_5_4_nano__reasoning_low:2; gpt_5_4_nano__reasoning_medium:2; gpt_5_5__reasoning_high:2,breakfast:19
22,systematic copper overestimation,"All models consistently overestimate the total copper content in the recipe, leading to uniformly positive signed errors and high relative error percentages. This failure mode suggests a shared reasoning pattern where copper amounts are inflated, possibly due to incorrect assumptions or aggregation errors in ingredient copper values.",10,0.16999999999999998,0.14,141.66666666666669,116.66666666666667,0.16999999999999998,100.0,0.0,"gpt_5_4_nano__reasoning_low (MAE=0.0700, n=1)","gpt_4_1_nano (MAE=0.4800, n=1)",10,gpt_4_1_nano:1; gpt_5_4__reasoning_low:1; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_medium:1; gpt_5_4_nano__reasoning_high:1,anytime_meals:10
23,systematic overestimation bias,"All models consistently overestimate the total copper content in recipes, leading to uniformly positive signed errors and high relative error percentages. This failure mode suggests a shared reasoning pattern where copper values are inflated, possibly due to cumulative rounding up or over-attribution of copper content in ingredients.",12,0.13833333333333334,0.11499999999999999,98.8095238095238,82.14285714285712,0.13833333333333334,100.0,0.0,"gpt_5_4_mini__reasoning_low (MAE=0.0900, n=1)","gpt_5_4_nano__reasoning_medium (MAE=0.3500, n=1)",12,gpt_5_4__reasoning_high:1; gpt_5_4__reasoning_low:1; gpt_5_4__reasoning_medium:1; gpt_5_4_mini__reasoning_high:1; gpt_5_4_mini__reasoning_low:1,anytime_meals:12
24,systematic copper overestimation,"All models consistently overestimate the total copper content in the recipe, leading to positive signed errors and high relative error percentages. This failure mode suggests a shared reasoning pattern where copper values are inflated, possibly due to cumulative rounding up or over-attribution of copper content from ingredients.",8,0.08,0.05,66.66666666666667,41.66666666666667,0.08,100.0,0.0,"gpt_5_4_nano__reasoning_medium (MAE=0.0100, n=1)","gpt_5_4_nano__reasoning_low (MAE=0.3100, n=1)",8,gpt_5_4__reasoning_high:1; gpt_5_4_mini__reasoning_low:1; gpt_5_4_nano__reasoning_low:1; gpt_5_4_nano__reasoning_medium:1; gpt_5_4_pro__reasoning_high:1,anytime_meals:8
25,systematic overestimation bias,"The shared failure mode is a consistent overestimation of copper content across all samples, with no underestimations observed. This suggests a reasoning pattern where the models tend to inflate copper values, possibly due to cumulative rounding errors or misinterpretation of ingredient copper contributions.",12,0.17341666666666666,0.01999999999999999,97.0687134502924,16.666666666666682,0.17341666666666666,100.0,0.0,"gpt_5_4__reasoning_high (MAE=0.0030, n=1)","gpt_5_4_nano__reasoning_high (MAE=0.5590, n=2)",9,gpt_5_4_nano__reasoning_high:2; gpt_5_4_nano__reasoning_low:2; gpt_5_4_nano__reasoning_medium:2; gpt_4_1_nano:1; gpt_5_4__reasoning_high:1,anytime_meals:7; breakfast:5
