model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,4,0,4,0.010000000000000002,0.0,desserts,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,5,0,5,0.096,0.0,snacks,high,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,9,0,9,0.08777777777777779,22.22222222222222,anytime_meals,low,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,4,0,4,0.0275,0.0,breakfast,low,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,4,0,4,0.0125,0.0,desserts,low,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,5,0,5,0.07999999999999999,0.0,snacks,low,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,9,0,9,0.0911111111111111,0.0,anytime_meals,medium,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,4,0,4,0.048249999999999994,25.0,breakfast,medium,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,4,0,4,0.005000000000000001,50.0,desserts,medium,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,5,0,5,0.076,0.0,snacks,medium,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,9,0,9,0.08644444444444445,11.11111111111111,anytime_meals,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,4,0,4,0.019999999999999997,25.0,breakfast,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,4,0,4,0.007500000000000002,0.0,desserts,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,5,0,5,0.08199999999999999,0.0,snacks,high,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,9,0,9,0.06777777777777777,0.0,anytime_meals,low,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,4,0,4,0.01750000000000001,25.0,breakfast,low,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,4,0,4,0.022500000000000003,25.0,desserts,low,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,5,0,5,0.057999999999999996,20.0,snacks,low,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,9,0,9,0.08444444444444445,33.33333333333333,anytime_meals,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,4,0,4,0.015000000000000001,25.0,breakfast,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,4,0,4,0.009750000000000002,25.0,desserts,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.05399999999999999,20.0,snacks,medium,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,9,0,9,0.29155555555555557,0.0,anytime_meals,high,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,4,0,4,0.04775,25.0,breakfast,high,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,4,0,4,0.018500000000000003,25.0,desserts,high,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,5,0,5,0.164,0.0,snacks,high,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,9,0,9,0.9172222222222223,11.11111111111111,anytime_meals,low,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,4,0,4,0.07150000000000001,0.0,breakfast,low,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,4,0,4,0.21050000000000002,0.0,desserts,low,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,5,0,5,0.10800000000000001,0.0,snacks,low,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,9,0,9,0.1511111111111111,22.22222222222222,anytime_meals,medium,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,4,0,4,0.05500000000000001,0.0,breakfast,medium,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,4,0,4,0.0205,0.0,desserts,medium,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,5,0,5,0.13599999999999998,0.0,snacks,medium,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,9,0,9,0.09277777777777778,11.11111111111111,anytime_meals,high,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,4,0,4,0.01825,25.0,breakfast,high,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,4,0,4,0.004500000000000002,50.0,desserts,high,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,5,0,5,0.072,0.0,snacks,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,9,0,9,0.10555555555555556,22.22222222222222,anytime_meals,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,4,0,4,0.02425,25.0,breakfast,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,4,0,4,0.015000000000000003,25.0,desserts,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,5,0,5,0.06599999999999999,0.0,snacks,high,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,9,0,9,0.10111111111111111,11.11111111111111,anytime_meals,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,4,0,4,0.024999999999999994,0.0,breakfast,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,4,0,4,0.010750000000000003,25.0,desserts,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,5,0,5,0.066,0.0,snacks,low,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,9,0,9,0.10666666666666667,11.11111111111111,anytime_meals,medium,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,4,0,4,0.025,25.0,breakfast,medium,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,4,0,4,0.0175,0.0,desserts,medium,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,5,0,5,0.092,0.0,snacks,medium,
